date,J,Q,ET,Cin,wi,measC_Q
01-Jan-2020 00:00:00,0,0.0349934895833333,0,-10.0164957955945,0.813953488372093,NaN
01-Jan-2020 01:00:00,0,0.0348485044607776,0,-10.1971141717308,0.813126234670789,NaN
01-Jan-2020 02:00:00,0,0.0347049133660398,0,-10.3145476333864,0.812300204358365,NaN
01-Jan-2020 03:00:00,0,0.0345626965722284,0,-10.6334552445661,0.811475399531894,NaN
01-Jan-2020 04:00:00,0,0.0344218347181445,0,-10.5841376872649,0.810651822221898,NaN
01-Jan-2020 05:00:00,0,0.0342823087999082,0,-10.7763884088749,0.809829474393342,NaN
01-Jan-2020 06:00:00,0,0.0341441001628161,0,-10.8012675409488,0.809008357946618,NaN
01-Jan-2020 07:00:00,0,0.0340071904934164,0,-10.8290958615948,0.808188474718517,NaN
01-Jan-2020 08:00:00,0,0.0338715618118002,0,-10.8394728569576,0.80736982648318,NaN
01-Jan-2020 09:00:00,0,0.033737196464098,0,-10.7470822197504,0.806552414953039,NaN
01-Jan-2020 10:00:00,0,0.0336040771151782,0,-10.7787756768228,0.80573624177974,NaN
01-Jan-2020 11:00:00,0,0.0334721867415399,0,-10.5540870521645,0.804921308555052,NaN
01-Jan-2020 12:00:00,0,0.0333415086243932,0,-10.5782490787022,0.804107616811767,NaN
01-Jan-2020 13:00:00,0,0.033212026342923,0,-10.3283093437998,0.803295168024579,NaN
01-Jan-2020 14:00:00,0,0.0330837237677301,0,-10.2608225519769,0.802483963610954,NaN
01-Jan-2020 15:00:00,0,0.0329565850544431,0,-10.4696125584007,0.801674004931986,NaN
01-Jan-2020 16:00:00,0,0.0328305946374975,0,-10.6409484568348,0.800865293293239,NaN
01-Jan-2020 17:00:00,0,0.0327057372240761,0,-10.6646816572997,0.800057829945578,NaN
01-Jan-2020 18:00:00,0,0.032581997788206,0,-10.5494222973541,0.799251616085986,NaN
01-Jan-2020 19:00:00,0,0.032459361565007,0,-10.3230243619642,0.798446652858369,NaN
01-Jan-2020 20:00:00,0,0.0323378140450888,0,-10.1602673302503,0.797642941354348,NaN
01-Jan-2020 21:00:00,0,0.0322173409690897,0,-10.1364966884142,0.796840482614042,NaN
01-Jan-2020 22:00:00,0,0.0320979283223546,0,-10.0126717533409,0.796039277626834,NaN
01-Jan-2020 23:00:00,0,0.0319795623297483,0,-9.98809470378446,0.795239327332134,NaN
02-Jan-2020 00:00:00,0,0.0318622294505987,0,-10.0613561045415,0.794440632620121,NaN
02-Jan-2020 01:00:00,0,0.0317459163737679,0,-9.98407048476404,0.79364319433248,NaN
02-Jan-2020 02:00:00,0,0.0316306100128451,0,-10.0309070016414,0.792847013263127,NaN
02-Jan-2020 03:00:00,0,0.031516297501461,0,-9.9728986728156,0.792052090158925,NaN
02-Jan-2020 04:00:00,0,0.0314029661887169,0,-9.82535247495224,0.79125842572038,NaN
02-Jan-2020 05:00:00,0,0.0312906036347276,0,-9.8647156800447,0.790466020602342,NaN
02-Jan-2020 06:00:00,0,0.0311791976062735,0,-9.86645077341212,0.789674875414685,NaN
02-Jan-2020 07:00:00,0,0.0310687360725599,0,-9.93313387737655,0.788884990722979,NaN
02-Jan-2020 08:00:00,0,0.0309592072010785,0,-9.89319859284989,0.788096367049152,NaN
02-Jan-2020 09:00:00,0,0.0308505993535711,0,-9.74165231379657,0.787309004872146,NaN
02-Jan-2020 10:00:00,0,0.03074290108209,0,-9.80799250200092,0.786522904628559,NaN
02-Jan-2020 11:00:00,0,0.0306361011251537,0,-9.69095428653279,0.785738066713281,NaN
02-Jan-2020 12:00:00,0,0.030530188403995,0,-9.7005820691663,0.784954491480117,NaN
02-Jan-2020 13:00:00,0,0.0304251520188989,0,-9.98461345485004,0.784172179242404,NaN
02-Jan-2020 14:00:00,0,0.0303209812456277,0,-9.99619612613826,0.78339113027362,NaN
02-Jan-2020 15:00:00,0,0.0302176655319312,0,-10.1984453042919,0.782611344807979,NaN
02-Jan-2020 16:00:00,0,0.030115194494139,0,-10.0734781584378,0.781832823041025,NaN
02-Jan-2020 17:00:00,0,0.030013557913834,0,-10.2768612840444,0.781055565130209,NaN
02-Jan-2020 18:00:00,0,0.0299127457346028,0,-10.2146998910329,0.780279571195466,NaN
02-Jan-2020 19:00:00,0,0.0298127480588632,0,-10.4390659060142,0.779504841319778,NaN
02-Jan-2020 20:00:00,0,0.0297135551447648,0,-10.5023902444077,0.778731375549733,NaN
02-Jan-2020 21:00:00,0,0.0296151574031622,0,-10.7276093495694,0.77795917389607,NaN
02-Jan-2020 22:00:00,0,0.0295175453946573,0,-10.6913105766558,0.777188236334221,NaN
02-Jan-2020 23:00:00,0,0.0294207098267108,0,-10.6251743083232,0.77641856280485,NaN
03-Jan-2020 00:00:00,0.234828892001399,0.0293246415508193,0,-10.4802211023793,0.775650153214371,NaN
03-Jan-2020 01:00:00,1.41420565987657,0.0299337545265815,0,-10.4855367166827,0.780180624867459,NaN
03-Jan-2020 02:00:00,0.835043189009382,0.0344781353537654,0,-10.3579388991494,0.8091212044411,NaN
03-Jan-2020 03:00:00,0.901319082413902,0.0374324825948962,0,-10.2797595047141,0.824139104564643,NaN
03-Jan-2020 04:00:00,0.893779298120976,0.0409205857004721,0,-9.94918784426462,0.839076341939724,NaN
03-Jan-2020 05:00:00,1.70067379466181,0.0446906399051329,0,-10.0228405334119,0.852591917037103,NaN
03-Jan-2020 06:00:00,0.910526953325318,0.0530872115578713,0,-9.83511356955952,0.875846492477517,NaN
03-Jan-2020 07:00:00,0.637457615565392,0.057991351364211,0,-9.70912683248069,0.886270131825342,NaN
03-Jan-2020 08:00:00,1.71581903351168,0.0615169626845879,0,-9.62703825240105,0.892705594431707,NaN
03-Jan-2020 09:00:00,1.87427905893876,0.0729661002078071,0,-9.65340220290402,0.909464786139096,NaN
03-Jan-2020 10:00:00,0.311671561652885,0.0877268326118366,0,-9.65468763781747,0.924616047165153,NaN
03-Jan-2020 11:00:00,0.340189962070141,0.0895225177764551,0,-9.4233058662476,0.926024427420692,NaN
03-Jan-2020 12:00:00,1.73858122621849,0.0915968682776093,0,-9.19553478384159,0.927595516916815,NaN
03-Jan-2020 13:00:00,3.68984736248503,0.108074740793177,0,-9.04885784641005,0.938543744994675,NaN
03-Jan-2020 14:00:00,1.57472516066711,0.154257933474969,0,-9.11617228011409,0.956864067803823,NaN
03-Jan-2020 15:00:00,2.03636900031951,0.176418265905732,0,-9.14100828873705,0.962176073895825,NaN
03-Jan-2020 16:00:00,3.18081655732055,0.209956386779532,0,-9.00188131345305,0.968113390197527,NaN
